date,service_type,price,payment_method,customer_id
2025-04-01,Basic Wash,17,Card,CUST9590
2025-03-15,Interior Cleaning,36,E-Wallet,CUST7345
2025-05-17,Premium Wash,25,Cash,CUST2023
2025-04-18,Basic Wash,16,Card,CUST5593
2025-05-11,Wax & Polish,60,Cash,CUST5397
2025-04-12,Basic Wash,22,E-Wallet,CUST9279
2025-02-24,Interior Cleaning,39,E-Wallet,CUST7329
2025-04-14,Interior Cleaning,38,Cash,CUST2797
2025-01-10,Full Detailing,120,E-Wallet,CUST5605
2025-05-22,Premium Wash,30,E-Wallet,CUST8263
2025-04-26,Premium Wash,29,Cash,CUST9871
2025-03-07,Full Detailing,127,Cash,CUST9430
2025-03-15,Basic Wash,21,E-Wallet,CUST5075
2025-01-05,Interior Cleaning,35,E-Wallet,CUST6490
2025-03-18,Wax & Polish,51,E-Wallet,CUST3174
2025-03-13,Basic Wash,17,Cash,CUST1498
2025-05-11,Full Detailing,125,Card,CUST4213
2025-02-23,Basic Wash,22,Cash,CUST7957
2025-05-09,Wax & Polish,57,E-Wallet,CUST2202
2025-02-23,Full Detailing,126,Card,CUST9021
2025-04-30,Wax & Polish,53,E-Wallet,CUST5673
2025-01-05,Interior Cleaning,41,E-Wallet,CUST7798
2025-05-03,Full Detailing,125,E-Wallet,CUST7119
2025-01-05,Full Detailing,123,Cash,CUST1952
2025-05-13,Full Detailing,129,Card,CUST2666
2025-04-05,Premium Wash,28,Card,CUST2157
2025-04-30,Wax & Polish,60,E-Wallet,CUST5149
2025-04-14,Interior Cleaning,44,E-Wallet,CUST9305
2025-02-01,Full Detailing,120,Card,CUST1693
2025-02-26,Basic Wash,17,Cash,CUST4209
2025-04-29,Basic Wash,17,Card,CUST5316
2025-03-31,Wax & Polish,59,Card,CUST5263
2025-01-03,Premium Wash,25,E-Wallet,CUST6205
2025-05-08,Full Detailing,121,Cash,CUST2561
2025-01-21,Basic Wash,23,Cash,CUST2681
2025-03-10,Wax & Polish,53,Cash,CUST7353
2025-05-04,Premium Wash,31,E-Wallet,CUST8571
2025-04-01,Wax & Polish,58,Card,CUST2016
2025-01-30,Basic Wash,20,Cash,CUST8341
2025-05-07,Basic Wash,17,E-Wallet,CUST3067
2025-05-19,Interior Cleaning,44,Card,CUST2250
2025-03-30,Basic Wash,23,E-Wallet,CUST2332
2025-05-09,Interior Cleaning,35,Card,CUST9349
2025-04-06,Basic Wash,18,Cash,CUST5798
2025-02-10,Wax & Polish,58,E-Wallet,CUST5911
2025-02-24,Interior Cleaning,42,Cash,CUST1752
2025-04-06,Interior Cleaning,38,Cash,CUST2113
2025-03-23,Interior Cleaning,43,Card,CUST6654
2025-02-15,Full Detailing,130,Cash,CUST6489
2025-02-26,Wax & Polish,54,Card,CUST1935
2025-05-17,Full Detailing,130,E-Wallet,CUST5569
2025-04-06,Full Detailing,126,E-Wallet,CUST9369
2025-02-03,Premium Wash,25,Card,CUST5771
2025-05-24,Interior Cleaning,43,Cash,CUST5036
2025-02-26,Premium Wash,28,E-Wallet,CUST2984
2025-01-29,Interior Cleaning,44,Cash,CUST9505
2025-03-07,Wax & Polish,56,Card,CUST6376
2025-02-22,Wax & Polish,60,Cash,CUST7416
2025-04-12,Interior Cleaning,44,Card,CUST8830
2025-04-29,Basic Wash,24,Card,CUST3371
2025-02-16,Basic Wash,16,Cash,CUST6239
2025-03-26,Full Detailing,122,Card,CUST5980
2025-05-02,Basic Wash,24,Card,CUST8141
2025-03-25,Basic Wash,25,Card,CUST3434
2025-02-26,Full Detailing,130,Card,CUST7212
2025-03-25,Basic Wash,17,E-Wallet,CUST7485
2025-01-01,Basic Wash,18,Cash,CUST9439
2025-05-09,Premium Wash,32,E-Wallet,CUST2268
2025-01-22,Wax & Polish,54,Card,CUST7397
2025-03-29,Interior Cleaning,40,Cash,CUST1307
2025-05-01,Premium Wash,29,Cash,CUST5230
2025-02-16,Interior Cleaning,36,Cash,CUST3631
2025-01-08,Full Detailing,124,Cash,CUST3726
2025-04-23,Basic Wash,18,Card,CUST3844
2025-01-24,Premium Wash,31,Card,CUST5406
2025-01-02,Full Detailing,124,Card,CUST5095
